Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-10-31,2005-10-25,12.0,5.0,5.0
2005-11-30,2005-11-22,9.0,11.0,11.0
2005-12-31,2005-12-27,-2.0,10.0,10.0
2006-01-31,2006-01-24,-4.0,5.0,6.0
2006-02-28,2006-02-28,0.0,,
2006-03-31,2006-03-28,21.0,4.0,7.0
2006-04-30,2006-04-25,18.0,10.0,8.0
2006-05-31,2006-05-23,1.0,14.0,13.0
2006-06-30,2006-06-27,4.0,7.0,7.0
2006-07-31,2006-07-25,12.0,5.0,5.0
2006-08-31,2006-08-22,3.0,10.0,9.0
2006-09-30,2006-09-26,9.0,7.0,6.0
2006-10-31,2006-10-24,-2.0,8.0,8.0
2006-11-30,2006-11-28,7.0,5.0,5.0
2006-12-31,2006-12-26,-6.0,6.0,6.0
2007-01-31,2007-01-23,-11.0,4.0,3.0
2007-02-28,2007-02-27,-10.0,-2.0,-2.0
2007-03-31,2007-03-27,-10.0,-5.0,-6.0
2007-04-30,2007-04-24,-11.0,-6.0,-7.0
2007-05-31,2007-05-22,-10.0,-6.0,-6.0
2007-06-30,2007-06-26,4.0,-7.0,-6.0
2007-07-31,2007-07-24,4.0,5.0,4.0
2007-08-31,2007-08-28,7.0,2.0,1.0
2007-09-30,2007-09-25,14.0,5.0,5.0
2007-10-31,2007-10-23,-5.0,8.0,8.0
2007-11-30,2007-11-27,0.0,-2.0,-2.0
2007-12-31,2007-12-26,-4.0,1.0,1.0
2008-01-31,2008-01-22,-8.0,-5.0,-6.0
2008-02-29,2008-02-26,-5.0,-12.0,-10.0
2008-03-31,2008-03-25,6.0,-5.0,-5.0
2008-04-30,2008-04-22,0.0,-1.0,-1.0
2008-05-31,2008-05-27,-3.0,1.0,0.0
2008-06-30,2008-06-24,-12.0,-5.0,-4.0
2008-07-31,2008-07-22,-16.0,-9.0,-9.0
2008-08-31,2008-08-26,-16.0,-10.0,-11.0
2008-09-30,2008-09-23,-18.0,-12.0,-12.0
2008-10-31,2008-10-28,-26.0,-23.0,-24.0
2008-11-30,2008-11-25,-38.0,-27.0,-27.0
2008-12-31,2008-12-23,-55.0,-40.0,-40.0
2009-01-31,2009-01-27,-49.0,-50.0,-51.0
2009-02-28,2009-02-24,-51.0,-49.0,-49.0
2009-03-31,2009-03-24,-20.0,-51.0,-50.0
2009-04-30,2009-04-28,-9.0,-17.0,-17.0
2009-05-31,2009-05-26,4.0,-7.0,-6.0
2009-06-30,2009-06-23,6.0,5.0,3.0
2009-07-31,2009-07-28,14.0,8.0,6.0
2009-08-31,2009-08-25,14.0,16.0,15.0
2009-09-30,2009-09-22,14.0,16.0,15.0
2009-10-31,2009-10-27,7.0,14.0,14.0
2009-11-30,2009-11-24,1.0,8.0,8.0
2009-12-31,2009-12-22,-4.0,5.0,4.0
2010-01-31,2010-01-26,-2.0,0.0,-1.0
2010-02-28,2010-02-23,2.0,2.0,2.0
2010-03-31,2010-03-23,6.0,5.0,5.0
2010-04-30,2010-04-27,30.0,10.0,10.0
2010-05-31,2010-05-25,26.0,26.0,26.0
2010-06-30,2010-06-22,23.0,20.0,20.0
2010-07-31,2010-07-27,16.0,12.0,13.0
2010-08-31,2010-08-24,11.0,8.0,10.0
2010-09-30,2010-09-28,-2.0,6.0,6.0
2010-10-31,2010-10-26,5.0,1.0,2.0
2010-11-30,2010-11-23,9.0,6.0,6.0
2010-12-31,2010-12-28,25.0,11.0,11.0
2011-01-31,2011-01-25,18.0,22.0,21.0
2011-02-28,2011-02-22,25.0,18.0,18.0
2011-03-31,2011-03-22,20.0,24.0,24.0
2011-04-30,2011-04-26,10.0,20.0,20.0
2011-05-31,2011-05-24,-6.0,9.0,8.0
2011-06-30,2011-06-28,3.0,-3.0,-4.0
2011-07-31,2011-07-26,-1.0,5.0,4.0
2011-08-31,2011-08-23,-10.0,-5.0,-6.0
2011-09-30,2011-09-27,-6.0,-11.0,-11.0
2011-10-31,2011-10-25,-6.0,1.0,1.0
2011-11-30,2011-11-22,0.0,-2.0,-1.0
2011-12-31,2011-12-27,3.0,5.0,5.0
2012-01-31,2012-01-24,12.0,6.0,6.0
2012-02-29,2012-02-28,20.0,14.0,13.0
2012-03-31,2012-03-27,7.0,18.0,18.0
2012-04-30,2012-04-24,14.0,6.0,6.0
2012-05-31,2012-05-22,4.0,11.0,11.0
2012-06-30,2012-06-26,-3.0,2.0,2.0
2012-07-31,2012-07-24,-17.0,-1.0,-2.0
2012-08-31,2012-08-28,-9.0,-10.0,-10.0
2012-09-30,2012-09-25,4.0,-5.0,-5.0
2012-10-31,2012-10-23,-7.0,5.0,5.0
2012-11-30,2012-11-27,9.0,-9.0,-7.0
2012-12-31,2012-12-26,5.0,8.0,8.0
2013-01-31,2013-01-22,-12.0,5.0,5.0
2013-02-28,2013-02-26,6.0,-4.0,-3.0
