Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2012-05-31,2012-06-01,,,
2012-06-30,2012-07-02,,52.9,52.9
2012-07-31,2012-08-01,,51.8,51.7
2012-08-31,2012-09-04,,51.9,51.9
2012-09-30,2012-10-01,,51.5,51.5
2012-10-31,2012-11-01,,51.3,51.2
2012-11-30,2012-12-03,,52.1,52.0
2012-12-31,2013-01-02,,53.6,53.2
2013-01-31,2013-02-01,,55.3,55.1
2013-02-28,2013-03-01,,55.2,55.4
2013-03-31,2013-04-01,,55.0,55.0
2013-04-30,2013-05-01,,52.0,51.9
2013-05-31,2013-06-03,,52.0,52.0
2013-06-30,2013-07-01,,52.3,52.3
2013-07-31,2013-08-01,,53.2,53.3
2013-08-31,2013-09-03,,54.0,54.1
2013-09-30,2013-10-01,,53.1,53.1
2013-10-31,2013-11-01,,51.1,51.2
2013-11-30,2013-12-02,,54.3,54.3
2013-12-31,2014-01-02,,54.7,54.7
2014-01-31,2014-02-03,,53.8,53.8
2014-02-28,2014-03-03,,56.7,56.0
2014-03-31,2014-04-01,,56.0,55.9
2014-04-30,2014-05-01,,55.4,55.4
2014-05-31,2014-06-02,,56.2,56.1
2014-06-30,2014-07-01,,57.5,57.5
2014-07-31,2014-08-01,,56.5,56.3
2014-08-31,2014-09-02,,58.0,57.9
2014-09-30,2014-10-01,,57.9,57.9
2014-10-31,2014-11-03,,56.2,56.2
2014-11-30,2014-12-01,,55.0,54.9
2014-12-31,2015-01-02,,54.0,53.8
2015-01-31,2015-02-02,,53.7,53.9
2015-02-28,2015-03-02,,54.3,54.3
2015-03-31,2015-04-01,,55.3,55.1
2015-04-30,2015-05-01,,54.2,54.5
2015-05-31,2015-06-01,,53.8,53.7
2015-06-30,2015-07-01,,53.4,53.4
2015-07-31,2015-08-03,,53.8,53.8
2015-08-31,2015-09-01,,52.9,52.9
2015-09-30,2015-10-01,,53.0,53.0
2015-10-31,2015-11-02,,54.0,54.1
2015-11-30,2015-12-01,,52.6,52.9
2015-12-31,2016-01-04,,51.1,51.1
2016-01-31,2016-02-01,,52.6,52.6
2016-02-29,2016-03-01,,51.2,51.3
2016-03-31,2016-04-01,,51.5,51.7
2016-04-30,2016-05-02,,50.8,50.9
2016-05-31,2016-06-01,,50.5,50.7
2016-06-30,2016-07-01,,51.2,51.2
2016-07-31,2016-08-01,,52.9,52.6
2016-08-31,2016-09-01,,52.1,51.7
2016-09-30,2016-10-03,,51.4,51.4
2016-10-31,2016-11-01,,53.2,53.1
2016-11-30,2016-12-01,,53.9,53.8
2016-12-31,2017-01-03,,54.2,54.2
2017-01-31,2017-02-01,,55.1,54.9
2017-02-28,2017-03-01,,54.5,54.7
2017-03-31,2017-04-03,,53.5,53.6
2017-04-30,2017-05-01,,52.8,52.9
2017-05-31,2017-06-01,,52.5,52.7
2017-06-30,2017-07-03,,52.1,52.2
2017-07-31,2017-08-01,,53.2,53.1
2017-08-31,2017-09-01,,52.5,52.6
2017-09-30,2017-10-02,,53.0,53.0
2017-10-31,2017-11-01,,54.5,54.3
2017-11-30,2017-12-01,,54.0,54.1
2017-12-31,2018-01-02,,55.0,55.0
2018-01-31,2018-01-24,,55.0,55.0
2018-02-28,2018-03-01,,55.9,55.8
2018-03-31,2018-04-02,,55.7,56.0
2018-04-30,2018-05-01,,56.5,56.4
2018-05-31,2018-06-01,,56.6,56.5
2018-06-30,2018-07-02,,54.6,54.6
2018-07-31,2018-08-01,,55.5,55.9
2018-08-31,2018-09-04,,54.5,54.5
2018-09-30,2018-10-01,,55.6,55.3
2018-10-31,2018-11-01,,55.8,55.7
2018-11-30,2018-12-03,,55.4,55.4
2018-12-31,2019-01-02,,53.9,53.9
2019-01-31,2019-02-01,,54.9,54.7
2019-02-28,2019-03-01,,53.7,54.1
2019-03-31,2019-04-01,,52.5,52.4
2019-04-30,2019-05-01,,52.4,52.6
2019-05-31,2019-06-03,,50.6,50.7
2019-06-30,2019-07-01,,50.1,50.1
2019-07-31,2019-08-01,,50.1,50.3
2019-08-31,2019-09-03,,50.0,49.9
2019-09-30,2019-10-01,,51.0,51.0
2019-10-31,2019-11-01,,51.5,51.4
2019-11-30,2019-12-02,,52.2,51.8
2019-12-31,2020-01-02,,52.5,52.4
2020-01-31,2020-02-03,,51.7,51.6
2020-02-29,2020-03-02,,50.8,50.6
2020-03-31,2020-04-01,,48.0,47.1
2020-04-30,2020-05-01,,36.7,36.3
2020-05-31,2020-06-01,,40.0,40.3
2020-06-30,2020-07-01,,49.6,49.7
2020-07-31,2020-08-03,,51.3,51.4
2020-08-31,2020-09-01,,53.6,53.6
2020-09-30,2020-10-01,,53.5,53.4
2020-10-31,2020-11-02,,53.3,53.3
2020-11-30,2020-12-01,,56.7,56.8
2020-12-31,2021-01-04,,56.3,56.0
2021-01-31,2021-02-01,,59.1,58.4
2021-02-28,2021-03-01,,58.5,58.0
2021-03-31,2021-04-01,,59.1,59.3
2021-04-30,2021-05-03,,60.7,60.7
2021-05-31,2021-06-01,,61.5,61.6
2021-06-30,2021-07-01,,62.6,62.3
2021-07-31,2021-08-02,,63.1,63.0
2021-08-31,2021-09-01,,61.2,61.1
2021-09-30,2021-10-01,,60.5,60.0
2021-10-31,2021-11-01,,59.2,59.3
2021-11-30,2021-12-01,,59.1,59.1
2021-12-31,2022-01-03,,57.7,57.7
2022-01-31,2022-02-01,,55.0,55.0
2022-02-28,2022-03-01,,57.5,57.4
2022-03-31,2022-04-01,,58.5,58.2
2022-04-30,2022-05-02,,59.7,59.7
2022-05-31,2022-06-01,,57.5,57.4
2022-06-30,2022-07-01,52.7,52.4,52.3
2022-07-31,2022-08-01,52.2,52.3,52.3
2022-08-31,2022-09-01,51.5,51.3,51.3
2022-09-30,2022-10-03,52.0,51.8,51.8
2022-10-31,2022-11-01,50.4,49.9,49.9
2022-11-30,2022-12-01,47.7,47.6,47.7
2022-12-31,2023-01-03,46.2,46.2,46.2
2023-01-31,2023-02-01,46.9,46.8,46.8
2023-02-28,2023-03-01,47.3,47.8,47.8
2023-03-31,2023-04-03,49.2,49.3,49.3
2023-04-30,2023-05-01,50.2,50.4,50.4
2023-05-31,2023-06-01,48.4,48.5,48.5
2023-06-30,2023-07-03,46.3,46.3,46.4
2023-07-31,2023-08-01,49.0,49.0,48.8
2023-08-31,2023-09-01,47.9,47.0,47.0
2023-09-30,2023-10-02,49.8,48.9,48.9
2023-10-31,2023-11-01,50.0,50.0,50.0
2023-11-30,2023-12-01,49.4,49.5,48.9
2023-12-31,2024-01-02,47.9,48.4,48.5
2024-01-31,2024-02-01,50.7,50.3,50.2
2024-02-29,2024-03-01,52.2,51.5,51.4
2024-03-31,2024-04-01,51.9,52.5,52.5
2024-04-30,2024-05-01,50.0,49.9,49.8
2024-05-31,2024-06-03,51.3,50.9,50.8
2024-06-30,2024-07-01,51.6,51.7,51.7
2024-07-31,2024-08-01,49.6,49.6,49.8
2024-08-31,2024-09-03,47.9,48.0,48.1
2024-09-30,2024-10-01,47.3,47.0,47.0
2024-10-31,2024-11-01,48.5,47.8,47.8
2024-11-30,2024-12-02,49.7,48.8,48.9
2024-12-31,2025-01-02,49.4,48.3,48.5
2025-01-31,2025-02-03,51.2,50.1,50.0
2025-02-28,2025-03-03,52.7,51.6,51.6
2025-03-31,2025-04-01,50.2,49.9,50.1
2025-04-30,2025-05-01,50.2,50.5,50.4
2025-05-31,2025-06-02,52.0,52.3,52.3
