Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2014-03-31,2014-04-03,,55.5,55.7
2014-04-30,2014-05-05,,54.5,54.6
2014-05-31,2014-06-04,,58.2,58.3
2014-06-30,2014-07-03,,61.0,60.6
2014-07-31,2014-08-05,,60.8,60.5
2014-08-31,2014-09-04,,58.5,58.6
2014-09-30,2014-10-03,,58.5,58.4
2014-10-31,2014-11-05,,57.1,57.1
2014-11-30,2014-12-03,,56.5,56.4
2014-12-31,2015-01-06,,53.7,54.0
2015-01-31,2015-02-04,,54.1,54.4
2015-02-28,2015-03-04,,57.0,56.4
2015-03-31,2015-04-06,,58.6,58.6
2015-04-30,2015-05-05,,57.8,57.7
2015-05-31,2015-06-03,,56.4,56.5
2015-06-30,2015-07-06,,54.9,55.1
2015-07-31,2015-08-05,,55.2,55.1
2015-08-31,2015-09-03,,55.0,55.0
2015-09-30,2015-10-05,,55.6,55.6
2015-10-31,2015-11-04,,54.5,54.6
2015-11-30,2015-12-03,,56.5,56.6
2015-12-31,2016-01-06,,54.0,54.0
2016-01-31,2016-02-03,,53.7,53.8
2016-02-29,2016-03-03,,50.0,50.1
2016-03-31,2016-04-05,,51.2,51.2
2016-04-30,2016-05-04,,52.1,52.2
2016-05-31,2016-06-03,,51.4,51.4
2016-06-30,2016-07-06,,51.3,51.4
2016-07-31,2016-08-03,,51.0,51.4
2016-08-31,2016-09-02,,51.0,51.0
2016-09-30,2016-10-05,,51.9,51.8
2016-10-31,2016-11-03,,54.8,54.4
2016-11-30,2016-12-05,,54.9,54.8
2016-12-31,2017-01-05,,53.4,53.4
2017-01-31,2017-02-03,,,
2017-02-28,2017-03-03,,54.0,53.9
2017-03-31,2017-04-05,,53.1,53.1
2017-04-30,2017-05-03,,52.5,52.5
2017-05-31,2017-06-05,,54.0,53.8
2017-06-30,2017-07-06,,53.0,52.9
2017-07-31,2017-08-03,,54.2,54.3
2017-08-31,2017-09-06,,56.9,56.3
