Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2221.9,,
2003-07-31,2003-07-31,2247.3,,
2003-08-31,2003-08-31,2246.5,,
2003-09-30,2003-09-30,2260.9,,
2003-10-31,2003-10-31,2261.5,,
2003-11-30,2003-11-30,2275.8,,
2003-12-31,2003-12-31,2294.7,,
2004-01-31,2004-01-31,2298.0,,
2004-02-29,2004-02-29,2310.2,,
2004-03-31,2004-03-31,2313.7,,
2004-04-30,2004-04-30,2352.7,,
2004-05-31,2004-05-31,2381.3,,
2004-06-30,2004-06-30,2383.6,,
2004-07-31,2004-07-31,2396.8,,
2004-08-31,2004-08-31,2403.3,,
2004-09-30,2004-09-30,2419.3,,
2004-10-31,2004-10-31,2477.1,,
2004-11-30,2004-11-30,2459.4,,
2004-12-31,2004-12-31,2430.2,,
2005-01-31,2005-01-31,2459.4,,
2005-02-28,2005-02-28,2491.5,,
2005-03-31,2005-03-31,2491.9,,
2005-04-30,2005-04-30,2508.2,,
2005-05-31,2005-05-31,2505.9,,
2005-06-30,2005-06-30,2529.3,,
2005-07-31,2005-07-31,2538.8,,
2005-08-31,2005-08-31,2558.5,,
2005-09-30,2005-09-30,2600.1,,
2005-10-31,2005-10-31,2604.8,,
2005-11-30,2005-11-30,2630.9,,
2005-12-31,2005-12-31,2633.5,,
2006-01-31,2006-01-31,2624.2,,
2006-02-28,2006-02-28,2631.9,,
2006-03-31,2006-03-31,2640.3,,
2006-04-30,2006-04-30,2636.0,,
2006-05-31,2006-05-31,2654.3,,
2006-06-30,2006-06-30,2648.7,,
2006-07-31,2006-07-31,2642.5,,
2006-08-31,2006-08-31,2651.4,,
2006-09-30,2006-09-30,2642.7,,
2006-10-31,2006-10-31,2630.3,,
2006-11-30,2006-11-30,2626.8,,
2006-12-31,2006-12-31,2637.5,,
2007-01-31,2007-01-31,2652.7,,
2007-02-28,2007-02-28,2642.9,,
2007-03-31,2007-03-31,2646.7,,
2007-04-30,2007-04-30,2629.6,,
2007-05-31,2007-05-31,2611.4,,
2007-06-30,2007-06-30,2604.3,,
2007-07-31,2007-07-31,2593.1,,
2007-08-31,2007-08-31,2586.7,,
2007-09-30,2007-09-30,2557.0,,
2007-10-31,2007-10-31,2568.0,,
2007-11-30,2007-11-30,2553.5,,
2007-12-31,2007-12-31,2541.9,,
2008-01-31,2008-01-31,2548.8,,
2008-02-29,2008-02-29,2505.9,,
2008-03-31,2008-03-31,2485.8,,
2008-04-30,2008-04-30,2463.2,,
2008-05-31,2008-05-31,2428.0,,
2008-06-30,2008-06-30,2403.1,,
2008-07-31,2008-07-31,2369.5,,
2008-08-31,2008-08-31,2338.8,,
2008-09-30,2008-09-30,2305.9,,
2008-10-31,2008-10-31,2231.2,,
2008-11-30,2008-11-30,2127.1,,
2008-12-31,2008-12-31,2050.5,,
2009-01-31,2009-01-31,1967.0,,
2009-02-28,2009-02-28,1898.3,,
2009-03-31,2009-03-31,1835.8,,
2009-04-30,2009-04-30,1778.1,,
2009-05-31,2009-05-31,1773.7,,
2009-06-30,2009-06-30,1753.8,,
2009-07-31,2009-07-31,1762.3,,
2009-08-31,2009-08-31,1758.7,,
2009-09-30,2009-09-30,1778.3,,
2009-10-31,2009-10-31,1811.2,,
2009-11-30,2009-11-30,1868.2,,
2009-12-31,2009-12-31,1905.5,,
2010-01-31,2010-01-31,1954.6,,
2010-02-28,2010-02-28,1965.5,,
