Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-04,-2.8,-1.0,-1.004
2003-09-30,2003-12-03,-5.8,-5.0,-5.653
2003-12-31,2004-03-04,-0.4,-0.35,-0.309
2004-03-31,2004-06-03,0.8,0.0,0.398
2004-06-30,2004-09-02,1.8,2.0,2.019
2004-09-30,2004-12-07,1.8,2.3,1.555
2004-12-31,2005-03-03,1.3,2.0,1.822
2005-03-31,2005-06-02,3.3,2.0,1.918
2005-06-30,2005-09-07,2.5,2.85,1.547
2005-09-30,2005-12-06,-1.0,1.8,1.679
2005-12-31,2006-03-07,3.3,3.5,3.049
2006-03-31,2006-06-01,1.6,1.2,1.286
2006-06-30,2006-09-06,4.9,3.65,4.116
2006-09-30,2006-12-05,2.3,3.4,3.227
2006-12-31,2007-03-06,6.6,2.05,3.715
2007-03-31,2007-06-06,1.8,3.8,1.356
2007-06-30,2007-09-06,1.4,1.8,1.545
2007-09-30,2007-12-05,-2.0,1.0,-1.269
2007-12-31,2008-03-05,2.6,3.5,2.223
2008-03-31,2008-06-04,2.2,2.6,2.01
2008-06-30,2008-09-04,-0.5,1.4,0.05
2008-09-30,2008-12-03,2.8,3.0,3.439
2008-12-31,2009-03-05,5.7,2.9,3.912
2009-03-31,2009-06-04,3.0,2.9,2.949
2009-06-30,2009-09-02,-5.9,-5.8,-5.722
2009-09-30,2009-12-03,-2.5,-4.1,-4.002
2009-12-31,2010-03-04,-5.9,-3.5,-4.704
2010-03-31,2010-06-03,-1.3,-1.4,-1.384
2010-06-30,2010-09-02,1.1,1.2,1.143
2010-09-30,2010-12-01,-0.1,0.6,-0.26
2010-12-31,2011-03-03,-0.6,-0.5,0.103
2011-03-31,2011-06-02,0.7,0.8,0.766
2011-06-30,2011-09-01,3.3,2.4,2.345
2011-09-30,2011-11-30,-2.5,-2.1,-2.162
2011-12-31,2012-03-07,2.8,1.2,0.819
2012-03-31,2012-06-06,1.3,2.1,2.569
2012-06-30,2012-09-05,1.5,1.4,0.692
2012-09-30,2012-12-05,-1.9,-1.0,0.683
2012-12-31,2013-03-07,4.6,4.3,3.029
2013-03-31,2013-06-05,-4.3,0.5,-0.247
2013-06-30,2013-09-05,0.0,0.8,0.681
2013-09-30,2013-12-16,-1.4,-0.05,0.038
2013-12-31,2014-03-06,-0.1,-0.5,-0.558
2014-03-31,2014-06-04,5.7,5.3,5.086
2014-06-30,2014-09-04,-0.1,0.5,0.484
2014-09-30,2014-12-03,-1.0,-0.2,-0.248
2014-12-31,2015-03-05,4.1,3.3,3.435
2015-03-31,2015-06-04,6.7,6.05,6.048
2015-06-30,2015-09-02,-1.4,-1.2,-1.032
2015-09-30,2015-12-02,1.8,1.0,1.196
2015-12-31,2016-03-03,3.3,4.3,4.137
2016-03-31,2016-06-07,4.5,4.0,4.041
2016-06-30,2016-09-01,4.3,2.1,2.7
2016-09-30,2016-12-06,0.7,0.3,0.475
2016-12-31,2017-03-08,1.7,1.6,1.609
2017-03-31,2017-06-05,2.2,2.4,2.484
2017-06-30,2017-09-07,0.2,0.3,0.325
2017-09-30,2017-12-06,-0.2,0.2,0.148
2017-12-31,2018-03-07,2.5,2.1,2.141
2018-03-31,2018-06-06,2.9,2.8,2.833
2018-06-30,2018-09-06,-1.0,-0.9,-0.926
2018-09-30,2018-12-06,0.9,1.0,1.038
2018-12-31,2019-03-07,2.0,1.7,1.72
2019-03-31,2019-06-06,-1.6,-0.9,-0.947
2019-06-30,2019-09-05,2.6,2.4,2.411
2019-09-30,2019-12-10,2.5,3.4,3.278
2019-12-31,2020-03-05,0.9,1.4,1.393
2020-03-31,2020-06-04,5.1,5.0,4.765
2020-06-30,2020-09-03,9.0,12.0,11.324
2020-09-30,2020-12-08,-6.6,-8.9,-8.179
2020-12-31,2021-03-04,6.0,6.6,6.519
2021-03-31,2021-06-03,1.7,-0.35,0.117
2021-06-30,2021-09-02,1.3,0.9,0.94
2021-09-30,2021-12-07,9.6,8.3,8.683
2021-12-31,2022-03-03,0.9,0.3,0.488
2022-03-31,2022-06-02,12.6,11.6,11.822
2022-06-30,2022-09-01,10.2,10.5,10.045
2022-09-30,2022-12-07,2.4,3.05,3.06
2022-12-31,2023-03-02,3.2,1.6,2.068
2023-03-31,2023-06-01,4.2,6.0,5.481
2023-06-30,2023-09-07,2.2,1.9,1.873
2023-09-30,2023-12-06,-1.2,-0.9,-0.888
2023-12-31,2024-03-07,0.4,0.7,0.7
2024-03-31,2024-06-06,4.0,4.9,4.936
2024-06-30,2024-09-05,0.4,0.8,0.781
2024-09-30,2024-12-10,0.8,1.3,1.361
2024-12-31,2025-03-06,2.2,3.0,2.873
2025-03-31,2025-06-05,6.6,5.7,5.78
