Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2015-01-31,2015-01-30,110.0,,
2015-02-28,2015-02-27,106.0,,
2015-03-31,2015-03-27,106.0,,
2015-04-30,2015-05-01,108.0,,
2015-05-31,2015-05-29,102.0,,
2015-06-30,2015-06-26,105.0,,
2015-07-31,2015-07-31,96.0,,
2015-08-31,2015-08-28,99.0,,
2015-09-30,2015-09-25,92.0,,
2015-10-31,2015-10-30,93.0,,
2015-11-30,2015-11-25,101.0,,
2015-12-31,2015-12-23,96.0,,
2016-01-31,2016-01-29,89.0,,
2016-02-29,2016-02-26,93.0,,
2016-03-31,2016-04-01,94.0,,
2016-04-30,2016-04-29,85.0,,
2016-05-31,2016-05-27,97.0,,
2016-06-30,2016-06-24,90.0,,
2016-07-31,2016-07-29,86.0,,
2016-08-31,2016-08-26,93.0,,
2016-09-30,2016-09-30,94.0,,
2016-10-31,2016-10-28,93.0,,
2016-11-30,2016-11-23,97.0,,
2016-12-31,2016-12-23,106.0,,
2017-01-31,2017-01-27,111.0,,
2017-02-28,2017-02-24,109.0,,
2017-03-31,2017-03-31,111.0,,
2017-04-30,2017-04-28,113.0,,
2017-05-31,2017-05-26,105.0,,
2017-06-30,2017-06-30,103.0,,
2017-07-31,2017-07-28,97.0,,
2017-08-31,2017-09-01,104.0,,
2017-09-30,2017-09-29,103.0,,
2017-10-31,2017-10-27,106.0,,
2017-11-30,2017-11-22,107.0,,
2017-12-31,2017-12-22,104.0,,
2018-01-31,2018-02-02,105.0,,
2018-02-28,2018-03-02,112.0,,
2018-03-31,2018-03-29,110.0,,
2018-04-30,2018-04-27,103.0,,
2018-05-31,2018-05-25,100.0,,
2018-06-30,2018-06-29,108.0,,
2018-07-31,2018-07-27,103.0,,
2018-08-31,2018-08-31,105.0,,
2018-09-30,2018-09-28,109.0,,
2018-10-31,2018-10-26,106.0,,
2018-11-30,2018-11-21,105.0,,
2018-12-31,2018-12-21,92.0,,
2019-01-31,2019-02-01,86.0,,
2019-02-28,2019-03-01,92.0,,
2019-03-31,2019-03-29,103.0,,
2019-04-30,2019-04-26,103.0,,
2019-05-31,2019-05-31,103.0,,
2019-06-30,2019-06-28,97.0,,
2019-07-31,2019-08-02,98.0,,
2019-08-31,2019-08-30,89.0,,
2019-09-30,2019-09-27,89.0,,
2019-10-31,2019-10-25,88.0,,
2019-11-30,2019-11-22,100.0,,
2019-12-31,2019-12-20,92.0,,
2020-01-31,2020-01-31,105.0,,
2020-02-29,2020-02-28,98.0,,
2020-03-31,2020-03-27,82.0,,
2020-04-30,2020-04-24,82.0,,
2020-05-31,2020-05-29,106.0,,
2020-06-30,2020-06-26,124.0,,
2020-07-31,2020-07-31,106.0,,
2020-08-31,2020-08-28,104.0,,
2020-09-30,2020-10-02,118.0,,
2020-10-31,2020-10-30,111.0,,
2020-11-30,2020-11-25,92.0,,
2020-12-31,2020-12-23,103.0,,
2021-01-31,2021-01-29,105.0,,
2021-02-28,2021-02-26,104.0,,
2021-03-31,2021-03-26,119.0,,
2021-04-30,2021-04-30,131.0,,
2021-05-31,2021-05-28,137.0,,
2021-06-30,2021-06-25,141.0,,
2021-07-31,2021-07-30,138.0,,
2021-08-31,2021-08-27,114.0,,
2021-09-30,2021-10-01,122.0,,
2021-10-31,2021-10-29,111.0,,
2021-11-30,2021-11-24,110.0,,
2021-12-31,2021-12-23,112.0,,
2022-01-31,2022-01-28,103.0,,
2022-02-28,2022-02-11,99.0,,
2022-03-31,2022-03-25,106.0,,
2022-04-30,2022-04-29,109.0,,
2022-05-31,2022-05-27,96.0,,
2022-06-30,2022-06-24,90.0,,
2022-07-31,2022-07-29,77.0,,
2022-08-31,2022-08-26,86.0,,
2022-09-30,2022-09-30,88.0,,
2022-10-31,2022-10-28,77.0,,
2022-11-30,2022-11-23,73.0,,
2022-12-31,2022-12-23,71.0,,
2023-01-31,2023-01-27,75.0,,
2023-02-28,2023-02-24,75.0,,
2023-03-31,2023-03-31,79.0,,
2023-04-30,2023-04-28,71.0,,
2023-05-31,2023-05-26,70.0,,
2023-06-30,2023-06-30,73.0,,
2023-07-31,2023-07-28,84.0,,
2023-08-31,2023-08-25,83.0,,
2023-09-30,2023-09-29,77.0,,
2023-10-31,2023-10-27,79.0,,
2023-11-30,2023-11-22,79.0,,
2023-12-31,2023-12-22,79.0,,
2024-01-31,2024-02-02,84.0,,
2024-02-29,2024-03-01,85.0,,
2024-03-31,2024-03-28,83.0,,
2024-04-30,2024-04-26,85.0,,
2024-05-31,2024-05-24,75.0,,
2024-06-30,2024-06-28,82.0,,
2024-07-31,2024-07-26,79.0,,
2024-08-31,2024-08-30,76.0,,
2024-09-30,2024-09-27,81.0,,
2024-10-31,2024-10-25,85.0,,
2024-11-30,2024-11-22,87.0,,
2024-12-31,2024-12-20,83.0,,
2025-01-31,2025-01-24,72.0,,
2025-02-28,2025-02-21,70.0,,
2025-03-31,2025-03-28,47.0,,
2025-04-30,2025-04-25,49.0,,
2025-05-31,2025-05-30,50.0,,
