Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,3155.0,,
2003-07-31,2003-07-31,3154.0,,
2003-08-31,2003-08-31,3008.0,,
2003-09-30,2003-09-30,3134.0,,
2003-10-31,2003-10-31,2983.0,,
2003-11-30,2003-11-30,3186.0,,
2003-12-31,2003-12-31,3201.0,,
2004-01-31,2004-01-31,2940.0,,
2004-02-29,2004-02-29,2884.0,,
2004-03-31,2004-03-31,3025.0,,
2004-04-30,2004-04-30,2836.0,,
2004-05-31,2004-05-31,2798.0,,
2004-06-30,2004-06-30,2798.0,,
2004-07-31,2004-07-31,2661.0,,
2004-08-31,2004-08-31,2780.0,,
2004-09-30,2004-09-30,2792.0,,
2004-10-31,2004-10-31,3055.0,,
2004-11-30,2004-11-30,2752.0,,
2004-12-31,2004-12-31,2739.0,,
2005-01-31,2005-01-31,2722.0,,
2005-02-28,2005-02-28,2631.0,,
2005-03-31,2005-03-31,2689.0,,
2005-04-30,2005-04-30,2621.0,,
2005-05-31,2005-05-31,2678.0,,
2005-06-30,2005-06-30,2654.0,,
2005-07-31,2005-07-31,2766.0,,
2005-08-31,2005-08-31,2743.0,,
2005-09-30,2005-09-30,2922.0,,
2005-10-31,2005-10-31,2651.0,,
2005-11-30,2005-11-30,2612.0,,
2005-12-31,2005-12-31,2551.0,,
2006-01-31,2006-01-31,2623.0,,
2006-02-28,2006-02-28,2656.0,,
2006-03-31,2006-03-31,2513.0,,
2006-04-30,2006-04-30,2435.0,,
2006-05-31,2006-05-31,2657.0,,
2006-06-30,2006-06-30,2737.0,,
2006-07-31,2006-07-31,2715.0,,
2006-08-31,2006-08-31,2687.0,,
2006-09-30,2006-09-30,2635.0,,
2006-10-31,2006-10-31,2842.0,,
2006-11-30,2006-11-30,2732.0,,
2006-12-31,2006-12-31,2684.0,,
2007-01-31,2007-01-31,2759.0,,
2007-02-28,2007-02-28,2719.0,,
2007-03-31,2007-03-31,2780.0,,
2007-04-30,2007-04-30,2830.0,,
2007-05-31,2007-05-31,2941.0,,
2007-06-30,2007-06-30,2805.0,,
2007-07-31,2007-07-31,2777.0,,
2007-08-31,2007-08-31,2974.0,,
2007-09-30,2007-09-30,3012.0,,
2007-10-31,2007-10-31,2787.0,,
2007-11-30,2007-11-30,3009.0,,
2007-12-31,2007-12-31,3143.0,,
2008-01-31,2008-01-31,3324.0,,
2008-02-29,2008-02-29,3297.0,,
