Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2100.0,,
2003-07-31,2003-07-31,1972.0,,
2003-08-31,2003-08-31,1995.0,,
2003-09-30,2003-09-30,2014.0,,
2003-10-31,2003-10-31,1959.0,,
2003-11-30,2003-11-30,2006.0,,
2003-12-31,2003-12-31,1931.0,,
2004-01-31,2004-01-31,1911.0,,
2004-02-29,2004-02-29,1856.0,,
2004-03-31,2004-03-31,1983.0,,
2004-04-30,2004-04-30,1805.0,,
2004-05-31,2004-05-31,1799.0,,
2004-06-30,2004-06-30,1847.0,,
2004-07-31,2004-07-31,1681.0,,
2004-08-31,2004-08-31,1640.0,,
2004-09-30,2004-09-30,1702.0,,
2004-10-31,2004-10-31,1737.0,,
2004-11-30,2004-11-30,1702.0,,
2004-12-31,2004-12-31,1653.0,,
2005-01-31,2005-01-31,1648.0,,
2005-02-28,2005-02-28,1628.0,,
2005-03-31,2005-03-31,1660.0,,
2005-04-30,2005-04-30,1609.0,,
2005-05-31,2005-05-31,1538.0,,
2005-06-30,2005-06-30,1375.0,,
2005-07-31,2005-07-31,1380.0,,
2005-08-31,2005-08-31,1407.0,,
2005-09-30,2005-09-30,1439.0,,
2005-10-31,2005-10-31,1422.0,,
2005-11-30,2005-11-30,1370.0,,
2005-12-31,2005-12-31,1356.0,,
2006-01-31,2006-01-31,1170.0,,
2006-02-28,2006-02-28,1350.0,,
2006-03-31,2006-03-31,1309.0,,
2006-04-30,2006-04-30,1331.0,,
2006-05-31,2006-05-31,1333.0,,
2006-06-30,2006-06-30,1145.0,,
2006-07-31,2006-07-31,1304.0,,
2006-08-31,2006-08-31,1306.0,,
2006-09-30,2006-09-30,1245.0,,
2006-10-31,2006-10-31,1078.0,,
2006-11-30,2006-11-30,1131.0,,
2006-12-31,2006-12-31,1093.0,,
2007-01-31,2007-01-31,1141.0,,
2007-02-28,2007-02-28,1249.0,,
2007-03-31,2007-03-31,1245.0,,
2007-04-30,2007-04-30,1206.0,,
2007-05-31,2007-05-31,1132.0,,
2007-06-30,2007-06-30,1143.0,,
2007-07-31,2007-07-31,1291.0,,
2007-08-31,2007-08-31,1246.0,,
2007-09-30,2007-09-30,1264.0,,
2007-10-31,2007-10-31,1298.0,,
2007-11-30,2007-11-30,1374.0,,
2007-12-31,2007-12-31,1324.0,,
2008-01-31,2008-01-31,1388.0,,
2008-02-29,2008-02-29,1329.0,,
2008-03-31,2008-03-31,1323.0,,
2008-04-30,2008-04-30,1372.0,,
2008-05-31,2008-05-31,1561.0,,
2008-06-30,2008-06-30,1576.0,,
2008-07-31,2008-07-31,1664.0,,
2008-08-31,2008-08-31,1866.0,,
2008-09-30,2008-09-30,2027.0,,
2008-10-31,2008-10-31,2280.0,,
2008-11-30,2008-11-30,2219.0,,
2008-12-31,2008-12-31,2610.0,,
2009-01-31,2009-01-31,2699.0,,
2009-02-28,2009-02-28,2999.0,,
2009-03-31,2009-03-31,3260.0,,
2009-04-30,2009-04-30,3752.0,,
2009-05-31,2009-05-31,3973.0,,
2009-06-30,2009-06-30,4349.0,,
2009-07-31,2009-07-31,4917.0,,
2009-08-31,2009-08-31,5037.0,,
2009-09-30,2009-09-30,5494.0,,
2009-10-31,2009-10-31,5643.0,,
2009-11-30,2009-11-30,5908.0,,
2009-12-31,2009-12-31,6122.0,,
2010-01-31,2010-01-31,6319.0,,
2010-02-28,2010-02-28,6129.0,,
2010-03-31,2010-03-31,6545.0,,
2010-04-30,2010-04-30,6800.0,,
2010-05-31,2010-05-31,6638.0,,
2010-06-30,2010-06-30,6623.0,,
2010-07-31,2010-07-31,6506.0,,
2010-08-31,2010-08-31,6259.0,,
2010-09-30,2010-09-30,6163.0,,
2010-10-31,2010-10-31,6227.0,,
2010-11-30,2010-11-30,6326.0,,
2010-12-31,2010-12-31,6429.0,,
2011-01-31,2011-01-31,6175.0,,
2011-02-28,2011-02-28,5892.0,,
2011-03-31,2011-03-31,6105.0,,
2011-04-30,2011-04-30,5925.0,,
2011-05-31,2011-05-31,6153.0,,
2011-06-30,2011-06-30,6271.0,,
2011-07-31,2011-07-31,6195.0,,
2011-08-31,2011-08-31,6048.0,,
2011-09-30,2011-09-30,6304.0,,
2011-10-31,2011-10-31,5838.0,,
2011-11-30,2011-11-30,5698.0,,
2011-12-31,2011-12-31,5586.0,,
2012-01-31,2012-01-31,5476.0,,
2012-02-29,2012-02-29,5242.0,,
2012-03-31,2012-03-31,5236.0,,
2012-04-30,2012-04-30,5132.0,,
2012-05-31,2012-05-31,5401.0,,
2012-06-30,2012-06-30,5409.0,,
