Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,9266.0,,
2003-07-31,2003-07-31,9011.0,,
2003-08-31,2003-08-31,8896.0,,
2003-09-30,2003-09-30,8921.0,,
2003-10-31,2003-10-31,8732.0,,
2003-11-30,2003-11-30,8576.0,,
2003-12-31,2003-12-31,8317.0,,
2004-01-31,2004-01-31,8370.0,,
2004-02-29,2004-02-29,8167.0,,
2004-03-31,2004-03-31,8491.0,,
2004-04-30,2004-04-30,8170.0,,
2004-05-31,2004-05-31,8212.0,,
2004-06-30,2004-06-30,8286.0,,
2004-07-31,2004-07-31,8136.0,,
2004-08-31,2004-08-31,7990.0,,
2004-09-30,2004-09-30,7927.0,,
2004-10-31,2004-10-31,8061.0,,
2004-11-30,2004-11-30,7932.0,,
2004-12-31,2004-12-31,7934.0,,
2005-01-31,2005-01-31,7784.0,,
2005-02-28,2005-02-28,7980.0,,
2005-03-31,2005-03-31,7737.0,,
2005-04-30,2005-04-30,7672.0,,
2005-05-31,2005-05-31,7651.0,,
2005-06-30,2005-06-30,7524.0,,
2005-07-31,2005-07-31,7406.0,,
2005-08-31,2005-08-31,7345.0,,
2005-09-30,2005-09-30,7553.0,,
2005-10-31,2005-10-31,7453.0,,
2005-11-30,2005-11-30,7566.0,,
2005-12-31,2005-12-31,7279.0,,
2006-01-31,2006-01-31,7064.0,,
2006-02-28,2006-02-28,7184.0,,
2006-03-31,2006-03-31,7072.0,,
2006-04-30,2006-04-30,7120.0,,
2006-05-31,2006-05-31,6980.0,,
2006-06-30,2006-06-30,7001.0,,
2006-07-31,2006-07-31,7175.0,,
2006-08-31,2006-08-31,7091.0,,
2006-09-30,2006-09-30,6847.0,,
2006-10-31,2006-10-31,6727.0,,
2006-11-30,2006-11-30,6872.0,,
2006-12-31,2006-12-31,6762.0,,
2007-01-31,2007-01-31,7116.0,,
2007-02-28,2007-02-28,6927.0,,
2007-03-31,2007-03-31,6731.0,,
2007-04-30,2007-04-30,6850.0,,
2007-05-31,2007-05-31,6766.0,,
2007-06-30,2007-06-30,6979.0,,
2007-07-31,2007-07-31,7149.0,,
2007-08-31,2007-08-31,7067.0,,
2007-09-30,2007-09-30,7170.0,,
2007-10-31,2007-10-31,7237.0,,
2007-11-30,2007-11-30,7240.0,,
2007-12-31,2007-12-31,7645.0,,
2008-01-31,2008-01-31,7685.0,,
2008-02-29,2008-02-29,7497.0,,
2008-03-31,2008-03-31,7822.0,,
2008-04-30,2008-04-30,7637.0,,
2008-05-31,2008-05-31,8395.0,,
2008-06-30,2008-06-30,8575.0,,
2008-07-31,2008-07-31,8937.0,,
2008-08-31,2008-08-31,9438.0,,
2008-09-30,2008-09-30,9494.0,,
2008-10-31,2008-10-31,10074.0,,
2008-11-30,2008-11-30,10538.0,,
2008-12-31,2008-12-31,11286.0,,
2009-01-31,2009-01-31,12058.0,,
2009-02-28,2009-02-28,12898.0,,
2009-03-31,2009-03-31,13426.0,,
2009-04-30,2009-04-30,13853.0,,
2009-05-31,2009-05-31,14499.0,,
2009-06-30,2009-06-30,14707.0,,
2009-07-31,2009-07-31,14601.0,,
2009-08-31,2009-08-31,14814.0,,
2009-09-30,2009-09-30,15009.0,,
2009-10-31,2009-10-31,15352.0,,
2009-11-30,2009-11-30,15219.0,,
2009-12-31,2009-12-31,15098.0,,
2010-01-31,2010-01-31,15046.0,,
2010-02-28,2010-02-28,15113.0,,
2010-03-31,2010-03-31,15202.0,,
2010-04-30,2010-04-30,15325.0,,
2010-05-31,2010-05-31,14849.0,,
