Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2010-01-31,2010-02-05,33.9,,
2010-02-28,2010-03-05,33.8,33.7,33.7
2010-03-31,2010-04-02,34.0,33.9,33.9
2010-04-30,2010-05-07,34.1,34.1,34.1
2010-05-31,2010-06-04,34.2,34.1,34.1
2010-06-30,2010-07-02,34.1,34.2,34.2
2010-07-31,2010-08-06,34.2,34.1,34.1
2010-08-31,2010-09-03,34.2,34.2,34.2
2010-09-30,2010-10-08,34.2,34.2,34.2
2010-10-31,2010-11-05,34.3,34.2,34.2
2010-11-30,2010-12-03,34.3,34.3,34.3
2010-12-31,2011-01-07,34.3,34.3,34.3
2011-01-31,2011-02-04,34.2,34.3,34.3
2011-02-28,2011-03-04,34.2,34.3,34.3
2011-03-31,2011-04-01,34.3,34.3,34.3
2011-04-30,2011-05-06,34.3,34.3,34.3
2011-05-31,2011-06-03,34.4,34.3,34.3
2011-06-30,2011-07-08,34.3,34.4,34.4
2011-07-31,2011-08-05,34.3,34.3,34.3
2011-08-31,2011-09-02,34.2,34.3,34.3
2011-09-30,2011-10-07,34.3,34.2,34.2
2011-10-31,2011-11-04,34.3,34.3,34.3
2011-11-30,2011-12-02,34.3,34.3,34.3
2011-12-31,2012-01-06,34.4,34.3,34.3
2012-01-31,2012-02-03,34.5,34.4,34.4
2012-02-29,2012-03-09,34.5,34.5,34.5
2012-03-31,2012-04-06,34.5,34.5,34.5
2012-04-30,2012-05-04,34.5,34.5,34.5
2012-05-31,2012-06-01,34.4,34.5,34.5
2012-06-30,2012-07-06,34.5,34.4,34.4
2012-07-31,2012-08-03,34.5,34.5,34.5
2012-08-31,2012-09-07,34.4,34.5,34.5
2012-09-30,2012-10-05,34.5,34.4,34.4
2012-10-31,2012-11-02,34.4,34.5,34.5
2012-11-30,2012-12-07,34.4,34.4,34.4
2012-12-31,2013-01-04,34.5,34.4,34.4
2013-01-31,2013-02-01,34.4,34.5,34.5
2013-02-28,2013-03-08,34.5,34.4,34.4
2013-03-31,2013-04-05,34.6,34.5,34.5
2013-04-30,2013-05-03,34.4,34.6,34.6
2013-05-31,2013-06-07,34.5,34.5,34.5
2013-06-30,2013-07-05,34.5,34.5,34.5
2013-07-31,2013-08-02,34.4,34.5,34.5
2013-08-31,2013-09-06,34.5,34.5,34.5
2013-09-30,2013-10-22,34.5,34.5,34.5
2013-10-31,2013-11-08,34.4,34.5,34.4
2013-11-30,2013-12-06,34.5,34.5,34.5
2013-12-31,2014-01-10,34.4,34.5,34.5
2014-01-31,2014-02-07,34.4,34.4,34.4
2014-02-28,2014-03-07,34.2,34.4,34.4
2014-03-31,2014-04-04,34.5,34.4,34.4
2014-04-30,2014-05-02,34.5,34.5,34.5
2014-05-31,2014-06-06,34.5,34.5,34.5
2014-06-30,2014-07-03,34.5,34.5,34.5
2014-07-31,2014-08-01,34.5,34.5,34.5
2014-08-31,2014-09-05,34.5,34.5,34.5
2014-09-30,2014-10-03,34.6,34.5,34.5
2014-10-31,2014-11-07,34.6,34.6,34.6
2014-11-30,2014-12-05,34.6,34.6,34.6
2014-12-31,2015-01-09,34.6,34.6,34.6
2015-01-31,2015-02-06,34.6,34.6,34.6
2015-02-28,2015-03-06,34.6,34.6,34.6
2015-03-31,2015-04-03,34.5,34.6,34.6
2015-04-30,2015-05-08,34.5,34.5,34.5
2015-05-31,2015-06-05,34.5,34.5,34.5
2015-06-30,2015-07-02,34.5,34.5,34.5
2015-07-31,2015-08-07,34.6,34.5,34.5
2015-08-31,2015-09-04,34.6,34.5,34.5
2015-09-30,2015-10-02,34.5,34.6,34.6
2015-10-31,2015-11-06,34.5,34.5,34.5
2015-11-30,2015-12-04,34.5,34.5,34.5
2015-12-31,2016-01-08,34.5,34.5,34.5
2016-01-31,2016-02-05,34.6,34.5,34.5
2016-02-29,2016-03-04,34.4,34.6,34.6
2016-03-31,2016-04-01,34.4,34.5,34.5
2016-04-30,2016-05-06,34.5,34.5,34.5
2016-05-31,2016-06-03,34.4,34.5,34.5
2016-06-30,2016-07-08,34.4,34.4,34.4
2016-07-31,2016-08-05,34.5,34.4,34.4
2016-08-31,2016-09-02,34.3,34.5,34.5
2016-09-30,2016-10-07,34.4,34.4,34.4
2016-10-31,2016-11-04,34.4,34.4,34.4
2016-11-30,2016-12-02,34.4,34.4,34.4
2016-12-31,2017-01-06,34.3,34.4,34.4
2017-01-31,2017-02-03,34.4,34.3,34.3
2017-02-28,2017-03-10,34.4,34.4,34.4
2017-03-31,2017-04-07,34.3,34.4,34.4
