Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-07,0.0,0.0,0.0
2003-07-31,2003-09-09,0.0,0.1,0.1
2003-08-31,2003-10-08,-0.2,0.1,0.1
2003-09-30,2003-11-07,0.4,0.1,0.1
2003-10-31,2003-12-09,0.5,0.2,0.3
2003-11-30,2004-01-08,0.5,0.4,0.4
2003-12-31,2004-02-09,0.6,0.3,0.4
2004-01-31,2004-03-10,0.1,0.4,0.4
2004-02-29,2004-04-08,1.2,0.3,0.3
2004-03-31,2004-05-07,0.6,0.5,0.5
2004-04-30,2004-06-09,-0.1,0.5,0.6
2004-05-31,2004-07-09,1.2,0.5,0.5
2004-06-30,2004-08-09,1.1,0.6,0.6
2004-07-31,2004-09-09,1.3,0.6,0.7
2004-08-31,2004-10-08,0.9,0.8,0.8
2004-09-30,2004-11-09,0.5,0.7,0.7
2004-10-31,2004-12-09,1.1,0.5,0.5
2004-11-30,2005-01-10,1.1,0.7,0.7
2004-12-31,2005-02-09,0.4,0.9,0.9
2005-01-31,2005-03-10,1.1,0.6,0.6
2005-02-28,2005-04-07,0.6,0.7,0.8
2005-03-31,2005-05-09,0.4,0.7,0.7
2005-04-30,2005-06-08,0.8,0.4,0.4
2005-05-31,2005-07-08,0.1,0.5,0.5
2005-06-30,2005-08-09,0.7,0.4,0.3
2005-07-31,2005-09-08,-0.1,0.6,0.5
2005-08-31,2005-10-07,0.5,0.4,0.4
2005-09-30,2005-11-09,0.6,0.3,0.3
2005-10-31,2005-12-09,0.2,0.5,0.5
2005-11-30,2006-01-10,0.4,0.5,0.4
2005-12-31,2006-02-09,1.0,0.5,0.5
2006-01-31,2006-03-10,0.1,0.5,0.5
2006-02-28,2006-04-07,0.8,0.5,0.4
2006-03-31,2006-05-09,0.2,0.5,0.5
2006-04-30,2006-06-08,0.9,0.5,0.5
2006-05-31,2006-07-10,0.8,0.5,0.5
2006-06-30,2006-08-09,0.8,0.6,0.6
2006-07-31,2006-09-07,0.8,0.6,0.6
2006-08-31,2006-10-10,1.1,0.7,0.6
2006-09-30,2006-11-09,0.8,0.5,0.5
2006-10-31,2006-12-11,0.8,0.6,0.6
2006-11-30,2007-01-10,1.3,0.5,0.5
2006-12-31,2007-02-08,-0.5,0.5,0.5
2007-01-31,2007-03-09,0.7,0.1,0.1
2007-02-28,2007-04-06,0.5,0.4,0.4
2007-03-31,2007-05-08,0.3,0.4,0.4
2007-04-30,2007-06-07,0.3,0.3,0.3
2007-05-31,2007-07-10,0.5,0.4,0.4
2007-06-30,2007-08-08,0.5,0.4,0.4
2007-07-31,2007-09-07,0.2,0.4,0.4
2007-08-31,2007-10-10,0.1,0.3,0.3
2007-09-30,2007-11-07,0.8,0.2,0.2
2007-10-31,2007-12-11,0.0,0.5,0.5
2007-11-30,2008-01-10,0.6,0.4,0.4
2007-12-31,2008-02-08,1.1,0.3,0.3
2008-01-31,2008-03-10,0.8,0.5,0.5
2008-02-29,2008-04-09,1.1,0.5,0.5
2008-03-31,2008-05-08,-0.1,0.5,0.5
2008-04-30,2008-06-06,1.3,0.4,0.4
2008-05-31,2008-07-08,0.8,0.6,0.6
2008-06-30,2008-08-08,1.1,0.6,0.6
2008-07-31,2008-09-09,1.4,0.7,0.7
2008-08-31,2008-10-09,0.8,0.4,0.4
2008-09-30,2008-11-07,-0.1,0.3,0.3
2008-10-31,2008-12-10,-1.1,-0.2,-0.2
2008-11-30,2009-01-09,-0.6,-0.7,-0.8
2008-12-31,2009-02-10,-1.4,-0.7,-0.8
2009-01-31,2009-03-10,-0.7,-1.0,-1.0
2009-02-28,2009-04-08,-1.5,-0.7,-0.6
2009-03-31,2009-05-08,-1.6,-1.0,-1.0
2009-04-30,2009-06-09,-1.4,-1.2,-1.0
2009-05-31,2009-07-09,-0.8,-1.0,-1.0
2009-06-30,2009-08-11,-1.7,-0.9,-0.8
2009-07-31,2009-09-11,-1.4,-1.0,-1.1
2009-08-31,2009-10-08,-1.3,-1.0,-1.0
2009-09-30,2009-11-06,-0.9,-1.0,-1.0
2009-10-31,2009-12-09,0.3,-0.5,-0.5
2009-11-30,2010-01-08,1.5,-0.3,-0.2
2009-12-31,2010-02-09,-0.8,0.5,0.3
2010-01-31,2010-03-10,-0.2,0.2,0.1
2010-02-28,2010-04-09,0.6,0.4,0.3
2010-03-31,2010-05-11,0.4,0.5,0.5
2010-04-30,2010-06-09,0.4,0.5,0.6
2010-05-31,2010-07-09,0.5,0.4,0.4
2010-06-30,2010-08-10,0.1,0.4,0.4
