Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,4475.0,,
2003-07-31,2003-07-31,4561.0,,
2003-08-31,2003-08-31,4334.0,,
2003-09-30,2003-09-30,4754.0,,
2003-10-31,2003-10-31,4700.0,,
2003-11-30,2003-11-30,4772.0,,
2003-12-31,2003-12-31,4673.0,,
2004-01-31,2004-01-31,4596.0,,
2004-02-29,2004-02-29,4436.0,,
2004-03-31,2004-03-31,4636.0,,
2004-04-30,2004-04-30,4479.0,,
2004-05-31,2004-05-31,4524.0,,
2004-06-30,2004-06-30,4373.0,,
2004-07-31,2004-07-31,4356.0,,
2004-08-31,2004-08-31,4347.0,,
2004-09-30,2004-09-30,4406.0,,
2004-10-31,2004-10-31,4715.0,,
2004-11-30,2004-11-30,4416.0,,
2004-12-31,2004-12-31,4339.0,,
2005-01-31,2005-01-31,4284.0,,
2005-02-28,2005-02-28,4153.0,,
2005-03-31,2005-03-31,4317.0,,
2005-04-30,2005-04-30,4172.0,,
2005-05-31,2005-05-31,4239.0,,
2005-06-30,2005-06-30,4361.0,,
2005-07-31,2005-07-31,4350.0,,
2005-08-31,2005-08-31,4429.0,,
2005-09-30,2005-09-30,4598.0,,
2005-10-31,2005-10-31,4202.0,,
2005-11-30,2005-11-30,4138.0,,
2005-12-31,2005-12-31,4021.0,,
2006-01-31,2006-01-31,4042.0,,
2006-02-28,2006-02-28,4080.0,,
2006-03-31,2006-03-31,3869.0,,
2006-04-30,2006-04-30,3818.0,,
2006-05-31,2006-05-31,4010.0,,
2006-06-30,2006-06-30,4214.0,,
2006-07-31,2006-07-31,4192.0,,
2006-08-31,2006-08-31,4114.0,,
2006-09-30,2006-09-30,4002.0,,
2006-10-31,2006-10-31,4305.0,,
2006-11-30,2006-11-30,4089.0,,
2006-12-31,2006-12-31,4113.0,,
2007-01-31,2007-01-31,4186.0,,
2007-02-28,2007-02-28,4096.0,,
2007-03-31,2007-03-31,4178.0,,
2007-04-30,2007-04-30,4240.0,,
2007-05-31,2007-05-31,4395.0,,
2007-06-30,2007-06-30,4258.0,,
2007-07-31,2007-07-31,4335.0,,
2007-08-31,2007-08-31,4514.0,,
2007-09-30,2007-09-30,4437.0,,
2007-10-31,2007-10-31,4213.0,,
2007-11-30,2007-11-30,4430.0,,
2007-12-31,2007-12-31,4525.0,,
2008-01-31,2008-01-31,4755.0,,
2008-02-29,2008-02-29,4805.0,,
2008-03-31,2008-03-31,4795.0,,
2008-04-30,2008-04-30,5130.0,,
2008-05-31,2008-05-31,5221.0,,
2008-06-30,2008-06-30,5440.0,,
2008-07-31,2008-07-31,5795.0,,
2008-08-31,2008-08-31,5766.0,,
2008-09-30,2008-09-30,6071.0,,
2008-10-31,2008-10-31,6553.0,,
2008-11-30,2008-11-30,7183.0,,
2008-12-31,2008-12-31,7918.0,,
2009-01-31,2009-01-31,7911.0,,
2009-02-28,2009-02-28,8697.0,,
2009-03-31,2009-03-31,9041.0,,
2009-04-30,2009-04-30,8821.0,,
2009-05-31,2009-05-31,8964.0,,
2009-06-30,2009-06-30,8900.0,,
2009-07-31,2009-07-31,8742.0,,
2009-08-31,2009-08-31,8904.0,,
2009-09-30,2009-09-30,8718.0,,
2009-10-31,2009-10-31,8821.0,,
